Category,Rating,Rating Count,Price,Currency,Maximum Installs,Size,Content Rating,Minimum Android,Released,Last Updated,Ad Supported,In App Purchases,Editors Choice
Productivity,4.3,6,0,USD,207,1.2MB,Everyone,2.3,2017.0,2017,False,False,False
Education,5.0,5,0,USD,18,38MB,Everyone,4.2,2020.0,2021,False,False,False
Lifestyle,0.0,0,0,USD,36,3.1MB,Everyone,4.0,2017.0,2019,False,False,False
Tools,0.0,0,0,USD,2686,3.2MB,Everyone,4.1,2018.0,2020,True,False,False
Education,0.0,0,0,USD,163,42MB,10+,4.4,2019.0,2020,False,False,False
Art & Design,3.9,9,0,USD,787,22MB,Everyone,4.1,2020.0,2020,True,False,False
Finance,4.8,2663,0,USD,49190,4.1MB,Everyone,7.0,2016.0,2021,True,False,False
Arcade,3.3,7,0,USD,5554,50MB,Everyone,5.1,2021.0,2021,True,False,False
Beauty,0.0,0,0,USD,95,5.5MB,Everyone,5.0,2020.0,2021,False,False,False
News & Magazines,0.0,0,0,USD,32,15MB,Everyone,4.2,2018.0,2018,True,False,False
House & Home,2.7,205,0,USD,53898,8.4MB,Everyone,4.4,2019.0,2021,False,False,False
Personalization,4.0,452,0,USD,45092,2.7MB,Everyone,1.6,2015.0,2015,False,False,False
Health & Fitness,0.0,0,0,USD,1157,41MB,Teen,5.1,2019.0,2019,True,False,False
Maps & Navigation,4.5,1592,0,USD,214635,11MB,Everyone,5.0,2014.0,2021,False,False,False
Photography,0.0,0,0,USD,3,18MB,Everyone,4.1,2021.0,2021,True,False,False
Tools,2.4,33,0,USD,4386,49MB,Everyone,5.0,2020.0,2021,False,False,False
News & Magazines,0.0,0,0,USD,108,1.3MB,Teen,2.3,2015.0,2015,True,False,False
Travel & Local,3.2,125,0,USD,36174,7.0MB,Everyone,4.1,2019.0,2019,True,False,False
Travel & Local,3.6,116,0,USD,23119,4.7MB,Everyone,3.0,2014.0,2017,True,False,False
Health & Fitness,0.0,0,0,USD,27,7.7MB,Everyone,4.0.3,2018.0,2018,False,False,False
Racing,3.9,55218,0,USD,30052692,43MB,Everyone,4.4,2016.0,2021,True,True,False
Sports,3.6,576,0,USD,334144,22MB,Everyone,4.0.3,2013.0,2019,True,True,False
Business,0.0,0,0,USD,130,5.4MB,Everyone,4.2,2019.0,2019,False,False,False
Tools,2.6,171,0,USD,119403,3.0MB,Everyone,4.0,2016.0,2018,False,False,False
Education,0.0,0,0,USD,103,1.6MB,Everyone,1.6,2017.0,2017,False,False,False
Education,0.0,0,0,USD,472,2.1MB,Everyone,5.0,2017.0,2017,False,False,False
Education,2.6,21,0,USD,4961,37MB,Everyone,2.3,2017.0,2017,False,False,False
Entertainment,0.0,0,0,USD,5,21MB,Everyone,5.0,2021.0,2021,True,False,False
